seqnames	start	end	width	strand	annot.seqnames	annot.start	annot.end	annot.width	annot.strand	annot.id	annot.tx_id	annot.gene_id	annot.symbol	annot.type
chr12	25375001	25400000	25000	*	chr12	25386242	25387241	1000	-	promoter:124479	ENST00000622671.1	NA	NA	hg38_genes_promoters
chr12	25375001	25400000	25000	*	chr12	25387242	25391241	4000	-	1to5kb:124479	ENST00000622671.1	NA	NA	hg38_genes_1to5kb
chr12	25375001	25400000	25000	*	chr12	25385670	25386241	572	-	exon:774397	ENST00000622671.1	NA	NA	hg38_genes_exons
chr18	63300001	63325000	25000	*	chr18	63320129	63321128	1000	-	promoter:174437	ENST00000398117.1	596	BCL2	hg38_genes_promoters
chr18	63300001	63325000	25000	*	chr18	63319787	63320786	1000	-	promoter:174438	ENST00000333681.4	596	BCL2	hg38_genes_promoters
chr18	63300001	63325000	25000	*	chr18	63318813	63319812	1000	-	promoter:174441	ENST00000589955.2	NA	NA	hg38_genes_promoters
chr18	63300001	63325000	25000	*	chr18	63321129	63325128	4000	-	1to5kb:174437	ENST00000398117.1	596	BCL2	hg38_genes_1to5kb
chr18	63300001	63325000	25000	*	chr18	63320787	63324786	4000	-	1to5kb:174438	ENST00000333681.4	596	BCL2	hg38_genes_1to5kb
chr18	63300001	63325000	25000	*	chr18	63319813	63323812	4000	-	1to5kb:174441	ENST00000589955.2	NA	NA	hg38_genes_1to5kb
chr18	63300001	63325000	25000	*	chr18	63318667	63320128	1462	-	5UTR:124894	ENST00000398117.1	596	BCL2	hg38_genes_5UTRs
chr18	63300001	63325000	25000	*	chr18	63319174	63319786	613	-	5UTR:124895	ENST00000333681.4	596	BCL2	hg38_genes_5UTRs
chr18	63300001	63325000	25000	*	chr18	63318667	63318952	286	-	5UTR:124896	ENST00000333681.4	596	BCL2	hg38_genes_5UTRs
chr18	63300001	63325000	25000	*	chr18	63318667	63318812	146	-	5UTR:124897	ENST00000589955.2	NA	NA	hg38_genes_5UTRs
chr18	63300001	63325000	25000	*	chr18	63318082	63320128	2047	-	exon:1073010	ENST00000398117.1	596	BCL2	hg38_genes_exons
chr18	63300001	63325000	25000	*	chr18	63319174	63319786	613	-	exon:1073012	ENST00000333681.4	596	BCL2	hg38_genes_exons
chr18	63300001	63325000	25000	*	chr18	63318082	63318952	871	-	exon:1073013	ENST00000333681.4	596	BCL2	hg38_genes_exons
