seqnames	start	end	width	strand	annot.seqnames	annot.start	annot.end	annot.width	annot.strand	annot.id	annot.tx_id	annot.gene_id	annot.symbol	annot.type
chr12	25225001	25250000	25000	*	chr12	25224103	25225102	1000	+	promoter:118626	ENST00000620933.1	NA	NA	hg38_genes_promoters
chr12	25225001	25250000	25000	*	chr12	25245385	25245395	11	-	5UTR:89215	ENST00000311936.7	3845	KRAS	hg38_genes_5UTRs
chr12	25225001	25250000	25000	*	chr12	25245385	25245395	11	-	5UTR:89217	ENST00000557334.5	3845	KRAS	hg38_genes_5UTRs
chr12	25225001	25250000	25000	*	chr12	25245385	25245395	11	-	5UTR:89219	ENST00000256078.8	3845	KRAS	hg38_genes_5UTRs
chr12	25225001	25250000	25000	*	chr12	25245385	25245395	11	-	5UTR:89221	ENST00000556131.1	3845	KRAS	hg38_genes_5UTRs
chr12	25225001	25250000	25000	*	chr12	25225103	25225665	563	+	exon:738237	ENST00000620933.1	NA	NA	hg38_genes_exons
chr12	25225001	25250000	25000	*	chr12	25245274	25245395	122	-	exon:774381	ENST00000311936.7	3845	KRAS	hg38_genes_exons
chr12	25225001	25250000	25000	*	chr12	25227234	25227412	179	-	exon:774382	ENST00000311936.7	3845	KRAS	hg38_genes_exons
chr12	25225001	25250000	25000	*	chr12	25225614	25225773	160	-	exon:774383	ENST00000311936.7	3845	KRAS	hg38_genes_exons
chr12	25225001	25250000	25000	*	chr12	25245274	25245395	122	-	exon:774386	ENST00000557334.5	3845	KRAS	hg38_genes_exons
chr12	25225001	25250000	25000	*	chr12	25245274	25245395	122	-	exon:774389	ENST00000256078.8	3845	KRAS	hg38_genes_exons
chr12	25225001	25250000	25000	*	chr12	25227234	25227412	179	-	exon:774390	ENST00000256078.8	3845	KRAS	hg38_genes_exons
chr12	25225001	25250000	25000	*	chr12	25225614	25225773	160	-	exon:774391	ENST00000256078.8	3845	KRAS	hg38_genes_exons
chr12	25225001	25250000	25000	*	chr12	25245274	25245395	122	-	exon:774395	ENST00000556131.1	3845	KRAS	hg38_genes_exons
chr12	25225001	25250000	25000	*	chr12	25233819	25235226	1408	-	exon:774396	ENST00000556131.1	3845	KRAS	hg38_genes_exons
chr12	25225001	25250000	25000	*	chr12	25209912	25225613	15702	-	intron:649906	ENST00000311936.7	3845	KRAS	hg38_genes_introns
chr12	25225001	25250000	25000	*	chr12	25225774	25227233	1460	-	intron:649907	ENST00000311936.7	3845	KRAS	hg38_genes_introns
chr12	25225001	25250000	25000	*	chr12	25227413	25245273	17861	-	intron:649908	ENST00000311936.7	3845	KRAS	hg38_genes_introns
chr12	25225001	25250000	25000	*	chr12	25245396	25250750	5355	-	intron:649909	ENST00000311936.7	3845	KRAS	hg38_genes_introns
chr12	25225001	25250000	25000	*	chr12	25209912	25245273	35362	-	intron:649910	ENST00000557334.5	3845	KRAS	hg38_genes_introns
chr12	25225001	25250000	25000	*	chr12	25245396	25250750	5355	-	intron:649911	ENST00000557334.5	3845	KRAS	hg38_genes_introns
chr12	25225001	25250000	25000	*	chr12	25215561	25225613	10053	-	intron:649913	ENST00000256078.8	3845	KRAS	hg38_genes_introns
chr12	25225001	25250000	25000	*	chr12	25225774	25227233	1460	-	intron:649914	ENST00000256078.8	3845	KRAS	hg38_genes_introns
chr12	25225001	25250000	25000	*	chr12	25227413	25245273	17861	-	intron:649915	ENST00000256078.8	3845	KRAS	hg38_genes_introns
chr12	25225001	25250000	25000	*	chr12	25245396	25250750	5355	-	intron:649916	ENST00000256078.8	3845	KRAS	hg38_genes_introns
chr12	25225001	25250000	25000	*	chr12	25235227	25245273	10047	-	intron:649917	ENST00000556131.1	3845	KRAS	hg38_genes_introns
chr12	25225001	25250000	25000	*	chr12	25245396	25250763	5368	-	intron:649918	ENST00000556131.1	3845	KRAS	hg38_genes_introns
chr12	25225001	25250000	25000	*	chr12	25233819	25235205	1387	-	3UTR:88724	ENST00000556131.1	3845	KRAS	hg38_genes_3UTRs
chr18	63125001	63150000	25000	*	chr18	63123346	63128759	5414	-	exon:1073011	ENST00000398117.1	596	BCL2	hg38_genes_exons
chr18	63125001	63150000	25000	*	chr18	63127035	63128759	1725	-	exon:1073014	ENST00000333681.4	596	BCL2	hg38_genes_exons
chr18	63125001	63150000	25000	*	chr18	63128212	63128759	548	-	exon:1073016	ENST00000590515.1	596	BCL2	hg38_genes_exons
chr18	63125001	63150000	25000	*	chr18	63128760	63318081	189322	-	intron:898574	ENST00000398117.1	596	BCL2	hg38_genes_introns
chr18	63125001	63150000	25000	*	chr18	63128760	63318081	189322	-	intron:898575	ENST00000333681.4	596	BCL2	hg38_genes_introns
chr18	63125001	63150000	25000	*	chr18	63128760	63161845	33086	-	intron:898577	ENST00000590515.1	596	BCL2	hg38_genes_introns
chr18	63125001	63150000	25000	*	chr18	63123346	63128624	5279	-	3UTR:125764	ENST00000398117.1	596	BCL2	hg38_genes_3UTRs
chr18	63125001	63150000	25000	*	chr18	63127035	63128624	1590	-	3UTR:125765	ENST00000333681.4	596	BCL2	hg38_genes_3UTRs
chr12	53975001	54000000	25000	*	chr12	53984065	53985064	1000	+	promoter:119873	ENST00000515593.1	NA	NA	hg38_genes_promoters
chr12	53975001	54000000	25000	*	chr12	53984186	53985185	1000	+	promoter:119874	ENST00000303460.4	3226	HOXC10	hg38_genes_promoters
chr12	53975001	54000000	25000	*	chr12	53984845	53985844	1000	+	promoter:119875	ENST00000513209.1	3222	HOXC5	hg38_genes_promoters
chr12	53975001	54000000	25000	*	chr12	53985132	53986131	1000	+	promoter:119876	ENST00000511575.1	3226	HOXC10	hg38_genes_promoters
chr12	53975001	54000000	25000	*	chr12	53985338	53986337	1000	+	promoter:119877	ENST00000514415.1	3226	HOXC10	hg38_genes_promoters
chr12	53975001	54000000	25000	*	chr12	53985430	53986429	1000	+	promoter:119878	ENST00000513413.2	3226	HOXC10	hg38_genes_promoters
chr12	53975001	54000000	25000	*	chr12	53989624	53990623	1000	+	promoter:119879	ENST00000504315.1	3223	HOXC6	hg38_genes_promoters
chr12	53975001	54000000	25000	*	chr12	53990738	53991737	1000	+	promoter:119880	ENST00000385189.3	406973	MIR196A2	hg38_genes_promoters
